procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 5  1  16272 309800 202736 712492    0    0    31    24  497  192 18  5 77  1
 0  0  16272 309784 202736 712552    0    0     7     0  103  224  1  1 98  0
 0  0  16272 309784 202752 712552    0    0     0     8  112  216  1  1 98  0
 0  0  16272 309412 202756 712552    0    0     0     4  407  675 11  5 84  0
 1  0  16272 302576 202756 716008    0    0   690     0  509  945 14  5 80  1
 0  0  16272 282292 202812 719208    0    0   574     5  474 3026 31  8 60  1
 0  0  16272 280184 202820 719316    0    0    22    26  433  996 27  5 68  0
 8  0  16272 260288 202828 720344    0    0   130     9  370 4638 32  9 59  0
 2  0  16268 226656 202852 722984    6    0   454    77  524 2484 47 12 41  0
 1  0  16268 208024 202860 730784    0    0  1550    11  571 6092 93  7  0  0
 2  0  16268 146360 202860 734772    0    0   794     0  705 3879 83 16  1  0
 0  1  16268 123132 202864 750356    0    0  3116     8  660 1356 29 62  4  4
 3  0  16264  93936 202864 764216    0    0  2714     5  640 1428 26 72  0  2
 1  0  17192  53500 188852 783932    0  186  6819   202  669 1049 25 69  2  4
 0  0  18028  55152 176676 786992    0  167  2153   191  703 1112 13 39 47  1
 5  0  18724  54216 158244 791824    0  139  3410   146  655 1434 11 30 47 12
 0  0  18948  53236 155644 791812    0   45   572    52  619 1277  6 14 79  0
 0  0  18948  53236 155656 791812    0    0     0   144  571 1265  5  3 91  0
 0  1  18948  52988 155660 792028    0    0     0     5  550 1217  4  3 91  3
 0  0  18948  52864 155668 792148    0    0     0    10  568 1291  5  4 73 18
 0  0  18948  52920 155676 792160    0    0     0     6  562 1292  6  5 89  0
 2  0  18960  56156 155688 788076    0    2    38    14  565 1149 16 53 29  1
 0  0  18960 264784 155696 786928    0    0     0   166  449 3601 18 16 66  0
 0  0  18960 264808 155708 786928    0    0     0    19  430  746 13  7 77  4
 0  0  18960 264776 155708 786928    0    0     0     2  236  389  5  2 94  0
